artist,song,text,cleaned_text
Rod Stewart,Picture In A Frame,"The sun come up  
It was blue and gold  
The sun come up  
It was blue and gold  
The sun come up  
It was blue and gold  
Ever since I put your picture  
In a frame  
  
Now I come crawling in my Sunday mist  
I come crawling in my Sunday mist  
I come crawling in my Sunday mist  
Ever since I put your picture  
In a frame  
  
And I'm gonna love you  
Till the leaves come off  
Oh yeah  
I'm gonna love you  
Till the leaves fall off  
Oh yeah  
  
I love you baby and I always will  
I love you baby and I always will  
I love you baby and I always will  
Ever since I put your picture  
In a frame  
  
I love you baby and I always will  
Ever since I put your picture  
In a frame

",sun come blue gold sun come blue gold sun come blue gold ever since put picture frame come crawling sunday mist come crawling sunday mist come crawling sunday mist ever since put picture frame im gon na love till leaves come oh yeah im gon na love till leaves fall oh yeah love baby always love baby always love baby always ever since put picture frame love baby always ever since put picture frame
Isley Brothers,You Deserve Better,"Oh, oh I  
(Hear me now, hear me now, hear me now)  
Oh, oh I  
Oh, oh I  
(Hear me now, hear me now, hear me now)  
Oh, oh I, yeah  
  
He never took you to a picture show (Oh why)  
He never took you to a carnival (Oh why)  
You never had a picnic in the park (Oh why)  
He never took you dancin' after dark  
See you deserve better babe  
  
[Chorus]  
You deserve better babe  
(Than the man that just don't care)  
You deserve better babe  
(Ain't no good if he ain't never there)  
You deserve better babe  
(Here me now, hear me now, hear me now)  
You deserve better, better  
Even better babe (Even better babe)  
  
He never took you on a shopping spree (Oh why)  
Just bought hisself another diamond ring (Oh why)  
He never offered up to pay a bill (Oh why)  
But 4 am, you know he wants it still  
See you deserve better babe  
  
[Chorus]  
  
See every girl deserves a little wine and dine  
Pop the Cristal cuz we gon' feel wild  
So let me pour it out, I'll do it quick no doubt  
Let me fill up your glass, I'm 'gona make it last  
Any man that have you, he should blow your mind  
Boom boom boom, your mind  
So listen to me girl, don't waste no more time  
Don't be wasting no time  
See you deserver better babe  
  
[Chorus]  
  
See if it's loving you (I can do it better)  
Or taking care of you (I can do it better)  
Or being true to you (I can do it better)  
I'll do whatever you want me to  
  
See if it's loving you (I can do it better)  
Or taking care of you (I can do it better)  
Being true to you (I can do it better)  
I'll do whatever you want me to (I can do it better)  
  
You deserve better babe (Hear me now, hear me now)  
You deserve better babe (Hear me now, hear me now)  
You deserve better babe (Hear me now, hear me now)  
You deserve better, better  
Even better babe  
  
I can do what your man won't do  
Oh, I can do it better (I can do it better)  
Anything you want (I can do it better)  
I got it  
Oh, I (I can do it better)  
Anything you need (I can do it better)  

",oh oh hear hear hear oh oh oh oh hear hear hear oh oh yeah never took picture show oh never took carnival oh never picnic park oh never took dancin dark see deserve better babe chorus deserve better babe man dont care deserve better babe aint good aint never deserve better babe hear hear deserve better better even better babe even better babe never took shopping spree oh bought hisself another diamond ring oh never offered pay bill oh know wants still see deserve better babe chorus see every girl deserves little wine dine pop cristal cuz gon feel wild let pour ill quick doubt let fill glass im gona make last man blow mind boom boom boom mind listen girl dont waste time dont wasting time see deserver better babe chorus see loving better taking care better true better ill whatever want see loving better taking care better true better ill whatever want better deserve better babe hear hear deserve better babe hear hear deserve better babe hear hear deserve better better even better babe man wont oh better better anything want better got oh better anything need better
Black Sabbath,I Witness,"Across the desert of the burning dark, a  
Darkness which illuminates you,  
There's a place you've always wanted to be,  
Whose pleasures always did escape you,  
It's always been so out of reach, nothing, so near  
Ever felt so far  
And now it's here within your grasp, a never  
Ending burning says it all.  
  
[Chorus]  
As you drive into the darkness, in front the future  
Behind you history  
Caught alone in the dark night, do you think  
That's the way it's supposed to be.  
You don't believe your eyes, cos all they see is  
Lies, oh yeah.  
  
You better run from the holy man, the eyes that  
Will are set uppon you,  
Listen not to verse and prayer, song that thrill  
And voices tempt you  
The inner flame has fear of death, never, has  
Light ever seemed so dark.  
Pilgrims of sabbocracy, hear the hounds of  
Heaven, as they bark  
  
[Chorus]  
  
I witness a time and a place that never dies, still  
Frozen in time,  
This darkness the only place that I can hide, i  
Witness, a dream.  
  
[Chorus]  
  
I witness a time and a place that never dies, still  
Frozen in time,  
This darkness the only place that I can hide, i  
Witness a dream.  
Oh, just a dream.

",across desert burning dark darkness illuminates theres place youve always wanted whose pleasures always escape always reach nothing near ever felt far within grasp never ending burning says chorus drive darkness front future behind history caught alone dark night think thats way supposed dont believe eyes cos see lies oh yeah better run holy man eyes set uppon listen verse prayer song thrill voices tempt inner flame fear death never light ever seemed dark pilgrims sabbocracy hear hounds heaven bark chorus witness time place never dies still frozen time darkness place hide witness dream chorus witness time place never dies still frozen time darkness place hide witness dream oh dream
Fatboy Slim,Because We Can,"Because we can, can, can  
Yes we can, can, can, can  
Can, can, can, can, can  
  
Oh, oh  
Oh, oh  
Oh, oh  
Oh, oh  
Oh, oh  
Oh, oh  
  
Everybody can, can  
  
Oh, oh  
Oh, oh  
Oh, oh  
Oh, oh  
Oh, oh  
Oh, oh  
Oh, oh  
  
Everybody can, can  
Because we can, can, can  
Yes we can, can  
Yes we can, can  
Because we can, can, can  
Yes we can, can  
Yes we can, can, can, can  
Can, can, can, can  
Can, can, can, can  
Can, can, can, can, can, oh  
  
Oh, oh  
Oh, oh  
Oh, oh  
Oh, oh  
Oh, oh  
Oh, oh  
Oh, oh  
  
Everybody can, can  
  
Oh, oh  
Oh, oh  
Oh, oh  
Oh, oh  
Oh, oh  
Oh, oh  
Oh, oh  
  
Can can, can, can  
Can, can, can, can  
Can, can, can, can  
Can, can, can, can  
Can, can, can, can  
Can, can, can, can  
Can, can, can, can  
Can, can, can  
  
Everybody can, can (echoes)  
  
Bumpy Bumpy (oh, oh)  
Bumpy Bumpy (oh, oh)  
Bumpy Bumpy (oh, oh)  
(Grinding) (oh, oh)  
Bumpy Bumpy (oh, oh)  
Bumpy Bumpy (oh, oh)  
  
Can can, can  
(Can, can, can)  
Yes we can, can, can  
(Can, can, can)  
Yes we can, can, can  
(Can, can, can)  
Because we can, can, can  
(Can, can, can)  
Yes we can, can, can  
(Can, can, can)  
Yes we can, can, can  
(Can, can, can)  
Because we  
(Can, can, can)  
Becaue we  
(Can, can, can)  
Because we  
(Can, can, can)  
Because we  
(Can, can, can)  
Because we can, can, can  
(Can, can, can)  
Because we can, can, can  
(Can, can, can)  
Because we can, can, can, can  
  
Can, can, can, can  
Can, can, can, can  
Can, can, can, can  
Can, can, can, can  
Can, can, can, can  
Can, can, can, can  
Can, can, can, can  
Can, can, can, can  
Can, can, can, can, can  
  
Everybody can, can  
Because we can, can, can, can  
  
Can, can, can, can  
Can, can, can, can  
Can, can, can, can  
Can, can, can, can

",yes oh oh oh oh oh oh oh oh oh oh oh oh everybody oh oh oh oh oh oh oh oh oh oh oh oh oh oh everybody yes yes yes yes oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh everybody oh oh oh oh oh oh oh oh oh oh oh oh oh oh everybody echoes bumpy bumpy oh oh bumpy bumpy oh oh bumpy bumpy oh oh grinding oh oh bumpy bumpy oh oh bumpy bumpy oh oh yes yes yes yes becaue everybody
Hank Williams,Mother Is Gone,"In a little pine grove by the old home  
There's someone who's restin' alone  
And there on the the tomb, these words I read  
The words were, 'Mother Is Gone'  
Mother is gone to her home  
Way up in Heaven above  
And my heart's so sad  
For the words I read there  
The words were, 'Mother Is Gone'  
As I stood alone with memories of home  
The place I left long, long ago  
I returned home but I waited too long  
For the words read, 'Mother Is Gone'  
My friends did say, before she went away  
She called my name over and over  
So trustin' in God's love, I'll meet her above  
Over on that other shore  
Mother is gone to her home  
Way up in heaven above  
And my heart's so sad  
For the words I read there  
The words were, 'Mother Is Gone'  

",little pine grove old home theres someone whos restin alone tomb words read words mother gone mother gone home way heaven hearts sad words read words mother gone stood alone memories home place left long long ago returned home waited long words read mother gone friends say went away called name trustin gods love ill meet shore mother gone home way heaven hearts sad words read words mother gone
Beach Boys,Magic Transistor Radio,"He sat up in his open window  
Looking quietly down at the path  
A firefly flew in his room and flew right out again  
  
Down jumped the prince  
And he went again to find his radio  
  
(Magic transistor radio)  
(Glowing magic transistor radio)  
(Glowing magic transistor radio)  
As he made his way he could hear something once again  
(Glowing magic transistor radio)  
There was that transistor up on the same tree  
  
Then from inside of it came a strange voice

",sat open window looking quietly path firefly flew room flew right jumped prince went find radio magic transistor radio glowing magic transistor radio glowing magic transistor radio made way could hear something glowing magic transistor radio transistor tree inside came strange voice
XTC,My Paint Heroes (home Demo),"All of Paris giggles with flags  
Laughing lions leap up from the page  
My the world looks good from where you are  
My the world looks good from where you paint from  
Barcelona, nuclear festive, wire women  
  
Wriggle from life's cage  
My the world looks good from where you are  
My the world looks good from where you paint from  
My the world looks good from where you are  
My the world looks like it's all a party  
Packed with my paint heroes  
  
Like it's all a party  
Packed with Rousseau  
Miro, Miro, on my wall  
I love you the most of all  
In Port Lligat, liked his Gala  
Waxed antenna, brushes up a storm  
  
My the world looks good from where you are  
My the world looks good from where you paint from  
Catalonia's atom caveman  
  
Cracks his whipline tipped in purest form  
My the world looks good from where you are  
My the world looks good from where you paint from  
My the world looks good from where you are  
My the world looks like it's all a party  
  
Packed with my paint heroes  
Like it's all a party  
Packed with Dali  
Miro, Miro, on my wall  
I love you the most of all

",paris giggles flags laughing lions leap page world looks good world looks good paint barcelona nuclear festive wire women wriggle lifes cage world looks good world looks good paint world looks good world looks like party packed paint heroes like party packed rousseau miro miro wall love port lligat liked gala waxed antenna brushes storm world looks good world looks good paint catalonias atom caveman cracks whipline tipped purest form world looks good world looks good paint world looks good world looks like party packed paint heroes like party packed dali miro miro wall love
Young Jeezy,Circulate,"See I'm a' start off so slow yeah I said so slow  
They love me out in D.C. just like gogo  
I said gogo yeah I said gogo  
See them right with Don Cannon it's a gogo  
See I want my song like Cocoa  
I like to heat mine up like Cocoa  
See dem eight seven Jeans see the logo  
Every time a day, count em' baby gogo  
  
You know how the drop be everything slow  
You know how the drop be anything goes  
Remember back then when I got the snow low  
And I was in and out of state just like Romo  
  
Lookin' out for them boys no homo  
Can't tell em what your drivin' that a no no  
I'm gonna tell you this but keep it on the low low  
If it's number two then we might be the popo  
  
Things are gettin' higher  
Makes it hard on the buyers  
Sun is all around  
Sun rise  
Sun rise  
  
Push up till we grind  
  
Rent bein' paid late

",see im start slow yeah said slow love dc like gogo said gogo yeah said gogo see right cannon gogo see want song like cocoa like heat mine like cocoa see dem eight seven jeans see logo every time day count em baby gogo know drop everything slow know drop anything goes remember back got snow low state like romo lookin boys homo cant tell em drivin im gon na tell keep low low number two might popo things gettin higher makes hard buyers sun around sun rise sun rise push till grind rent bein paid late
Alison Krauss,Deeper Than Crying,"Leaving is the longest word I ever learned  
In the time it takes to say it, the whole world has turned  
If a heartbeat lasts a lifetime then I've lived before  
'cause I remember standing at this open door  
  
[Chorus]  
This path is not the one I'd choose to travel  
Even as we watch what tied us unravel  
And the tears fall like rain  
Deeper than crying, the loving still remains  
  
Neither wants to be the one to say goodbye  
And neither wants to be the one who's left to cry  
But in our secret heart of hearts we both know  
That the time for patching up has passed and it's time to go  
  
[Chorus]  
  
So I'll be the one to pull our tangled lives apart  
I won't dodge the angry words that hide a broken heart  
And my calm fare-thee-wells cannot obscure  
That deep inside, my heart is also hurtin' so  
  
[Chorus]

",leaving longest word ever learned time takes say whole world turned heartbeat lasts lifetime ive lived cause remember standing open door chorus path one id choose travel even watch tied us unravel tears fall like rain deeper crying loving still remains neither wants one say goodbye neither wants one whos left cry secret heart hearts know time patching passed time go chorus ill one pull tangled lives apart wont dodge angry words hide broken heart calm faretheewells obscure deep inside heart also hurtin chorus
Bing Crosby,Santa Claus Is Coming To Town,"You better watch out, you better not cry  
You better not pout, I'm telling you why, why?  
Santa Claus is coming to town  
  
He's making a list  
And checking it twice  
He's gonna find out who's naughty and nice  
Santa Claus is coming to town  
  
He sees you when you're sleeping  
He knows when you're awake  
He knows if you've been bad or good  
So be good for goodness sake  
  
You better watch out, you better not cry  
You better not pout, I'm telling you why  
Santa Claus is coming to town  
  
Little tin horns, little toy drums  
Rudy-toot-toot and rummy tum tums  
Santa Claus is coming to town  
  
And curly head dolls that cuddle and coo  
Elephants, boats and kiddy cars too  
Santa Claus is coming to town  
  
The kids and girls in boy land  
Will have a jubilee  
They're gonna build a toy land town  
All around the Christmas tree  
  
You better watch out, you better not cry  
You better not pout, I'm telling you why  
Santa Claus is coming to town  
  
He sees you when you're sleeping  
And he knows when you're awake  
He knows if you've been bad or good  
So be good for goodness sake  
  
You better watch out, you better not cry  
You better not pout, I'm telling you why  
Santa Claus is coming to town  
  
You better watch out, you better not cry  
You better not pout, I'm telling you why  
Santa Claus is coming to town  
  
You mean the big fat man  
With the long white beard  
He's coming to town

",better watch better cry better pout im telling santa claus coming town hes making list checking twice hes gon na find whos naughty nice santa claus coming town sees youre sleeping knows youre awake knows youve bad good good goodness sake better watch better cry better pout im telling santa claus coming town little tin horns little toy drums rudytoottoot rummy tum tums santa claus coming town curly head dolls cuddle coo elephants boats kiddy cars santa claus coming town kids girls boy land jubilee theyre gon na build toy land town around christmas tree better watch better cry better pout im telling santa claus coming town sees youre sleeping knows youre awake knows youve bad good good goodness sake better watch better cry better pout im telling santa claus coming town better watch better cry better pout im telling santa claus coming town mean big fat man long white beard hes coming town
George Strait,Dance Time In Texas,"It's dance time in Texas and were striking up the band  
Let's go honky tonkin' honey take my hand  
  
It's dance time in Texas where the wine and music flows  
We'll do that Texas two step and that old cotton eyed Joe  
I'll take you honky tonkin' in my old pick up truck  
It's dance time in Texas and the music lifts you up  
It's dance time in Texas and were striking up the band  
We'll go honky tonkin' honey take my hand  
  
It's dance time in Texas where the wine and music flows  
We'll do that Texas two step and that old cotton eyed Joe  
Now it's time for a slow dance and we're waltzing oh so close  
It's dance time in Texas and your the one I love the most  
It's dance time in Texas and were striking up the band  
We'll go honky tonkin' honey take my hand  
It's dance time in Texas where the wine and music flows

",dance time texas striking band lets go honky tonkin honey take hand dance time texas wine music flows well texas two step old cotton eyed joe ill take honky tonkin old pick truck dance time texas music lifts dance time texas striking band well go honky tonkin honey take hand dance time texas wine music flows well texas two step old cotton eyed joe time slow dance waltzing oh close dance time texas one love dance time texas striking band well go honky tonkin honey take hand dance time texas wine music flows
Dusty Springfield,Breakaway,"(tom springfield)  
  
The springfields  
  
Breakaway, my heart is cryin'  
Breakaway, the time is flyin'  
So, I'm gonna tell myself don't sit and mourn  
Lookin' sad and so forlorn  
Tell myself I'm glad I'm born  
Well, I'm gonna breakaway  
  
Breakaway, the breeze is sighin'  
Breakaway, the time is flyin'  
So, I'm gonna pack a bag and get my coat  
Lock my door and leave a note  
Take a train or take a boat  
Well, I'm gonna breakaway  
  
I'll take me round from town to town  
I'll see the friends I knew  
I left 'em by the wayside  
But I know their hearts are true  
  
I'll give myself a holiday  
I need it oh-so bad  
And if I find a new love  
I'll be glad, glad, glad  
  
Breakaway, my heart is cryin'  
Breakaway, the time is flyin'  
So, I'm gonna find out what this world can give  
While I'm young I'm gonna live  
That's my plan, I'm positive  
Well, I'm gonna breakaway  
  
I'll take me round from town to town  
I'll see the friends I knew  
I left 'em by the wayside  
But, I know their hearts are true  
  
I'll give myself a holiday  
I need it oh-so bad  
And if I find a new love  
I'll be glad, glad, glad  
  
Breakaway, my heart is cryin'  
Breakaway, the time is flyin'  
So, I'm gonna find out what this world can give  
While I'm young I'm gonna live  
That's my plan, I'm positive  
Well, I'm gonna breakaway  
Gonna breakaway  
Gonna breakaway  
Breakaway  
Breakaway

",tom springfield springfields breakaway heart cryin breakaway time flyin im gon na tell dont sit mourn lookin sad forlorn tell im glad im born well im gon na breakaway breakaway breeze sighin breakaway time flyin im gon na pack bag get coat lock door leave note take train take boat well im gon na breakaway ill take round town town ill see friends knew left em wayside know hearts true ill give holiday need ohso bad find new love ill glad glad glad breakaway heart cryin breakaway time flyin im gon na find world give im young im gon na live thats plan im positive well im gon na breakaway ill take round town town ill see friends knew left em wayside know hearts true ill give holiday need ohso bad find new love ill glad glad glad breakaway heart cryin breakaway time flyin im gon na find world give im young im gon na live thats plan im positive well im gon na breakaway gon na breakaway gon na breakaway breakaway breakaway
Ufo,Crystal Light,"Standin' by the roadside, views are in my hand  
Coat I'm wearings blowing cold  
Turn my back to the wind  
Winter mists along the coast  
City lights close down  
Your empty station there  
Train line cuts the ground  
Train line cuts the ground  
  
[Chorus]  
Crystal light shinin' bright  
Shine on down for me  
Good is even passin' by, dying not received  
Like a fool I hit that road, took my time to see  
Life was only foolin' there  
  
Cold crisp air it burns my lungs, find it hard to breathe  
The hospital shut their gates, I can't get me no peace  
Weaker people stand and scream, stumble in the road  
Close my eyes, turn off the lights  
Timeless, found a dream, timeless found a dream  
  
[Chorus: x2]

",standin roadside views hand coat im wearings blowing cold turn back wind winter mists along coast city lights close empty station train line cuts ground train line cuts ground chorus crystal light shinin bright shine good even passin dying received like fool hit road took time see life foolin cold crisp air burns lungs find hard breathe hospital shut gates cant get peace weaker people stand scream stumble road close eyes turn lights timeless found dream timeless found dream chorus x
Louis Armstrong,"Baby, It's Cold Outside","I really can't stay  
Baby it's cold outside  
I've got to go away  
Baby it's cold outside  
This evening has been  
Been hoping that you'd drop in  
So very nice  
I'll hold your hands, they're just like ice  
My mother will start to worry  
Beautiful, what's your hurry?  
And my father will be pacing the floor  
Just listen to that fireplace roar  
Now really I'd better scurry  
Sweetheart, what's your hurry?  
Well maybe just a half a drink more  
Why don't you put some records on while I pour  
All the neighbors might think  
But baby, it's bad out there  
Say, what's in this drink?  
No cabs to be had out there  
Oh, I wish I knew how  
Your eyes are like starlight now  
To break this spell  
I'll take your hat, your hair looks swell  
I ought to say no, no, no, sir  
Mind if I move in closer  
At least I'm gonna say that I tried  
What's the sense in hurting my pride?  
I really can't stay  
Baby don't hold out  
Oh, but it's cold outside  
I simply must go  
Baby, it's cold outside  
The answer is no  
But baby, it's cold out there  
Oh, this welcome has been  
So lucky that you dropped in  
So nice and warm  
Look out that window at that storm  
My sister will be suspicious  
Gosh, your lips look delicious  
And my brother will be there at the door  
Waves upon a tropical shore  
Oh, my maiden aunt's mind is vicious  
Ooo, baby you're so delicious  
Well maybe just one little kiss more  
Never such a blizzard before  
Oh, I've got to go home  
You'll freeze to the bone out there  
Say, lend me a comb  
It's up to your knees out there  
You've really been grand  
I thrill when you touch my hand  
But don't you see?  
How can you do this thing to me?  
Oh, there's bound to be talk tomorrow  
Making my lifelong sorrow  
Well at least there will be plenty implied  
If you caught pneumonia and died  
But I really can't stay  
Get over that old out  
Baby it's cold outside  
Ooo ooo ooo  
Hey, I gotta get out of here  
Come on, baby  
Come on what?  
Just give me five minutes more  
You sure know how to wear a girl down, don't you?  
Okay, okay, okay, okay  

",really cant stay baby cold outside ive got go away baby cold outside evening hoping youd drop nice ill hold hands theyre like ice mother start worry beautiful whats hurry father pacing floor listen fireplace roar really id better scurry sweetheart whats hurry well maybe half drink dont put records pour neighbors might think baby bad say whats drink cabs oh wish knew eyes like starlight break spell ill take hat hair looks swell ought say sir mind move closer least im gon na say tried whats sense hurting pride really cant stay baby dont hold oh cold outside simply must go baby cold outside answer baby cold oh welcome lucky dropped nice warm look window storm sister suspicious gosh lips look delicious brother door waves upon tropical shore oh maiden aunts mind vicious ooo baby youre delicious well maybe one little kiss never blizzard oh ive got go home youll freeze bone say lend comb knees youve really grand thrill touch hand dont see thing oh theres bound talk tomorrow making lifelong sorrow well least plenty implied caught pneumonia died really cant stay get old baby cold outside ooo ooo ooo hey got ta get come baby come give five minutes sure know wear girl dont okay okay okay okay
Kenny Chesney,Me And You,"How did I drink in here, playing the same song  
Eating potato skins  
There's nowhere to go  
We're still in Ohio  
Mountain dew  
  
Drinking Coca-Cola, eating cheeseburgers  
Where the french fries are  
Hungry for my life and putrefactive  
Mountain dew  
  
Every time, I drank it all at once  
At the restaurant  
That's my name  
I could make it after all  
Even if I drank again  
  
Every night I slept  
My face don't wanna turn red  
All I want to do  
I thank my friends to meet  
That I had to dream  
Mountain dew  
  
Every time, I drank it all at once  
At the restaurant  
That's my name  
I could make it after all  
Even if I drank again  
  
How did I drink in here, playing the same song  
Not another thing  
I think I'm grown up  
Making pizza crust  
Mountain dew  
Mountain dew

",drink playing song eating potato skins theres nowhere go still ohio mountain dew drinking cocacola eating cheeseburgers french fries hungry life putrefactive mountain dew every time drank restaurant thats name could make even drank every night slept face dont wan na turn red want thank friends meet dream mountain dew every time drank restaurant thats name could make even drank drink playing song another thing think im grown making pizza crust mountain dew mountain dew
Iwan Fals,Ibu,"Ribuan kilo jalan yang kau tempuh  
Lewati rintang untuk aku anakmu  
Ibuku sayang masih terus berjalan  
Walau tapak kaki, penuh darah... Penuh nanah  
  
Seperti udara... Kasih yang engkau berikan  
Tak mampu ku membalas... Ibu... Ibu  
  
Ingin kudekat dan menangis di pangkuanmu  
Sampai aku tertidur, bagai masa kecil dulu  
Lalu doa-doa baluri sekujur tubuhku  
Dengan apa membalas... Ibu... Ibu....  
  
Seperti udara... Kasih yang engkau berikan  
Tak mampu ku membalas... Ibu... Ibu

",ribuan kilo jalan yang kau tempuh lewati rintang untuk aku anakmu ibuku sayang masih terus berjalan walau tapak kaki penuh darah penuh nanah seperti udara kasih yang engkau berikan tak mampu ku membalas ibu ibu ingin kudekat dan menangis di pangkuanmu sampai aku tertidur bagai masa kecil dulu lalu doadoa baluri sekujur tubuhku dengan apa membalas ibu ibu seperti udara kasih yang engkau berikan tak mampu ku membalas ibu ibu
Van Halen,Judgement Day,"It's my life, get off my ass, get outta my face  
Man, I don't see no problem  
Kickin' back, ain't kickin' you, no, no  
Anyway, if I make 'em, then I solve 'em  
Oh, that's right, yeah, whew  
Makin' plans 's a waste, ain't no future here  
Got no face, got no religion  
Oh tell me why should I care or even, why should I try?  
I just slide, slide on by, never bad enough to crucify me  
Cry! Put it out until Judgment Day  
I'll bear the cross on Judgment Day  
I do most anything, keep 'em doing anything, 'cause  
Sometimes I just want to do nothin'  
Nothin' lost, tell me, how can I lose  
When I'm startin' off with nothin'  
Oh tell me why should I care or even, why try?  
I just slide, slide on by, never bad enough to crucify me  
Oh! Put it out until Judgment Day  
I'll bear that same old cross on Judgment Day  
Oh! Hey!  
  
Hey man, anything's alright. Yeah!  
Wow! Put it out until Judgment Day  
I'll bear the cross on Judgment Day  
Put it out, put it out until Judgment Day  
I'll bear the cross on Judgment Day  
Oh! Whoa, yeah, on Judgment Day  
Oh! Whoa, yeah, on Judgment Day  
Wow!

",life get ass get outta face man dont see problem kickin back aint kickin anyway make em solve em oh thats right yeah whew makin plans waste aint future got face got religion oh tell care even try slide slide never bad enough crucify cry put judgment day ill bear cross judgment day anything keep em anything cause sometimes want nothin nothin lost tell lose im startin nothin oh tell care even try slide slide never bad enough crucify oh put judgment day ill bear old cross judgment day oh hey hey man anythings alright yeah wow put judgment day ill bear cross judgment day put put judgment day ill bear cross judgment day oh whoa yeah judgment day oh whoa yeah judgment day wow
Virgin Steele,Great Sword Of Flame,"Iron sounds sear the wound  
Hungry screams fill the air  
Kindred blood, infant blood, child flesh for their feast  
Judgment falls on the son  
Judgment falls on the King  
Storm of blood raging free  
Taste the blood on my hands  
  
Great sword of flame - split the night  
Great sword of flame in the sky  
Great sword of flame - rip the night  
Great sword of flame in the sky  
  
Open veins, tear his heart, rip the eyes from his head  
Under God, under siege bind their souls to deceit  
Vengeance wrought by the gods, forged in sin  
Forged by me!  
Seer and whore, thunder lord  
Why should I weep for thee  
  
Great sword of flame - split the night  
Great sword of flame in the sky  
Great sword of flame - rip the night  
Great sword of flame in the sky  
  
I am born from the blood of the feast  
She is born from the altar of sacrifice  
We are judgment, jury and executioner  
Dark instruments of divine vengeance, violence and justice  
Children's blood, virgin blood anoints our sovereignty  
Weep now and atone!  
  
Oh! She'll embrace you in Hades!  
Black cloud of slavery, oh...silver sided death  
  
Great sword of flame - split the night  
Great sword of flame in the sky  
Great sword of flame - rip the night  
Great sword of flame in the sky  
Great sword of flame - split the night  
Great sword of flame in the sky  
Great sword of flame - rip the night  
Great sword of flame in the sky  
Great sword of flame in the sky  
Great sword of flame!!!  
Great sword of flame!!!

",iron sounds sear wound hungry screams fill air kindred blood infant blood child flesh feast judgment falls son judgment falls king storm blood raging free taste blood hands great sword flame split night great sword flame sky great sword flame rip night great sword flame sky open veins tear heart rip eyes head god siege bind souls deceit vengeance wrought gods forged sin forged seer whore thunder lord weep thee great sword flame split night great sword flame sky great sword flame rip night great sword flame sky born blood feast born altar sacrifice judgment jury executioner dark instruments divine vengeance violence justice childrens blood virgin blood anoints sovereignty weep atone oh shell embrace hades black cloud slavery ohsilver sided death great sword flame split night great sword flame sky great sword flame rip night great sword flame sky great sword flame split night great sword flame sky great sword flame rip night great sword flame sky great sword flame sky great sword flame great sword flame
Imagine Dragons,Nothing Left To Say,"Who knows how long  
I've been awake now?  
The shadows on my wall don't sleep  
They keep calling me  
Beckoning...  
Who knows what's right?  
The lines keep getting thinner  
My age has never made me wise  
But I keep pushing on and on and on and on  
  
There's nothing left to say now...  
I'm giving up, giving up, hey hey, giving up now...  
There's nothing left to say now...  
I'm giving up, giving up, hey hey, giving up now...  
  
Below my soul  
I feel an engine  
Collapsing as it sees the pain  
If I could only shut it out  
I've come too far  
To see the end now  
Even if my way is wrong  
I keep pushing on and on and on and on  
  
There's nothing left to say now...  
I'm giving up, giving up, hey hey, giving up now...  
There's nothing left to say now...  
I'm giving up, giving up, hey hey, giving up now...  
  
I keep falling, I keep falling down...  
If you could only save me  
I'm drowning in the waters of my soul  
  
There's nothing left to say now...  
I'm giving up, giving up, hey hey, giving up now...  
There's nothing left to say now...  
I'm giving up, giving up, hey hey, giving up now...

",knows long ive awake shadows wall dont sleep keep calling beckoning knows whats right lines keep getting thinner age never made wise keep pushing theres nothing left say im giving giving hey hey giving theres nothing left say im giving giving hey hey giving soul feel engine collapsing sees pain could shut ive come far see end even way wrong keep pushing theres nothing left say im giving giving hey hey giving theres nothing left say im giving giving hey hey giving keep falling keep falling could save im drowning waters soul theres nothing left say im giving giving hey hey giving theres nothing left say im giving giving hey hey giving
Kenny Chesney,"You Win, I Win, We Lose","Nothing left, no regrets  
No hard feelings wish you all the best  
No blame, no shame  
Just time to say it's over I guess  
We both agree it's the right thing  
The only thing left to do  
You win, I win, we lose  
  
Sometimes love don't work out  
No matter how hard you try  
Lord knows we didn't start out to say goodbye  
If it's a win-win situation  
Then why am I feelin' so blue  
You win, I win, we lose  
  
You take yours, I'll take mine  
We'll leave nothing but the memories behind  
Of a love, and a dream  
That just somehow faded with time  
You say you're goin' your way  
I'm goin' somewhere too  
You win, I win, we lose  
  
Sometimes love don't work out  
No matter how hard you try  
Lord knows we didn't start out to say goodbye  
If it's a win-win situation  
Then why am I feelin' so blue  
You win, I win, we lose  
  
If it's a win-win situation  
Then why am I feelin' so blue  
You win, I win, we lose  
  
If you win, and I win, we lose  
We lose

",nothing left regrets hard feelings wish best blame shame time say guess agree right thing thing left win win lose sometimes love dont work matter hard try lord knows didnt start say goodbye winwin situation feelin blue win win lose take ill take mine well leave nothing memories behind love dream somehow faded time say youre goin way im goin somewhere win win lose sometimes love dont work matter hard try lord knows didnt start say goodbye winwin situation feelin blue win win lose winwin situation feelin blue win win lose win win lose lose
